2C 83 B8 21 12 CA D4 A6 EA 45 2F 23 83 D3
86 9A E5 42 09 8A 9A DB A0 49 35 0C 41 08
D7 B2 A3 0D B7 18 54 7F 0A 58 4F 2A 00 00
38 E6 88 4E B3 AB 33 E8 45 0D 9B 33 00 00
00 5D 2E 25 43 4E 03 A4 7A 00 00 00 00 00
00 00 00 0A 4F BA 71 5B 95 C2 2D B9 00 00
00 00 00 E2 9B 06 EA 2C 5D 04 F1 86 65 00
00 00 00 00 A6 79 12 A0 2B 4C 94 BB B8 1E
00 00 00 00 00 B3 C9 DC C9 74 BE 31 09 80
00 00 00 00 00 00 0D 92 13 87 45 6E B6 69
00 00 00 00 00 00 88 11 E3 8E 01 12 D3 64
00 00 00 00 60 3C 46 9F 49 1A 02 C4 E1 42
00 00 A0 CC D3 0A AD 8C D7 D9 BF 4B D2 42
A0 8C 6B 7A EC D1 48 E3 C2 CC AC 7B 43 25
